stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
Invalidenstr. Ecke Chausseestr.,tram,1,19645_east,"52.53041580,13.38273020",Q65552697,,,,,,,
Holteistr. Ecke Boxhagenerstr.,tram,3,196413_east,"52.50882350,13.46596900","Q65675805",,,,,,,
Eberswalderstr. Ecke Oderbergerstr.,tram,4,196432_east,"52.54098900,13.40654900",Q65719051,,,,,,,
Brunnenstr. Ecke Invalidenstr.,tram,11,196437_east,"52.53245420,13.39742360","Q65691740",,,,,,,
"Niederschönhausen, Schillerstr.",tram,46,196464_east,,,,,,,,,
"Hackescher Markt, Große Präsidentenstr.",tram,49,196490_east,,,,,,,,,
"Hohenschönhausen, Hauptstr.",tram,63,196493_east,,,,,,,,,
"Hohenschönhausen, Hauptstr.",tram,64,1964102_east,,,,,,,,,
"Johannisthal, Haeckelstr.",tram,69,1964112_east,"52.44029440,13.50526380",Q66225573,,,,,,,
"Johannisthal, Haeckelstr.",tram,69E,1964130_east,"52.44029440,13.50526380",Q66225573,,,,,,,
Hochschule für Ökonomie,tram,69E,1964134_east,"52.49276810,13.52660590",Q65952866,,,,,,,
"Hohenschönhausen, Falkenbergerstr.",tram,70,1964145_east,"52.55086720,13.50949940",Q65555882,,,,,,,
"Hohenschönhausen, Falkenbergerstr.",tram,70,1964145_east,"52.55086720,13.50949940",Q65555882,,,,,,,
"Hohenschönhausen, Falkenbergerstr.",tram,70,1964145_east,"52.55086720,13.50949940",Q65555882,,,,,,,
Prenzlauerallee Ecke Wisbyerstr.,tram,71,1964161_east,,,,,,,,,
"Alexanderplatz, Grunerstr.",tram,71,1964166_east,"52.52008326,13.41408419",,,,,,,,
Lindenstr. Ecke Hegelschule,tram,82,1964202_east,"52.45050940,13.57268400",Q66095701,,,,,,,
Wilhelminenhofstr. Ecke Edisonstr.,tram,82,1964204_east,"52.46194960,13.51390490",Q65951882,,,,,,,
Friedrich-Junge-Str.,autobus,A82P,1964217_east,,,,,,,,,
Seelenbinderstr. Ecke Bahnhofstr.,tram,84,1964235_east,,,,,,,,,
Lindenstr. Ecke Hegelschule,tram,85,1964244_east,"52.45050940,13.57268400",Q66095701,,,,,,,
Lindenstr. Ecke Bahnhofstr.,tram,86,1964256_east,"52.45050940,13.57268400",Q66095701,,,,,,,
Bahnhofstr. Ecke Lindenstr.,tram,87,1964265_east,"52.45050940,13.57268400",Q66095701,,,,,,,
"Hessenwinkel, Lindenstr.",autobus,A22,1964290_east,,,,,,,,,
"Wilhelmsruh, Fontanestr.",autobus,A45,1964350_east,"52.58985939,13.36119357",,,,,,,,
Strasse nach Wartenberg,autobus,A46,1964365_east,,,,,,,,,
"Malchow, Dorfstr.",autobus,A46,1964370_east,"52.58046227,13.48279758",,,,,,,,
"Wilhelmsruh, Fontanestr.",autobus,A55,1964390_east,,,,,,,,,
Hauptstr. Ecke Edelweißstr.,autobus,A55,1964391_east,"52.58637926,13.36752939",,,,,,,,
Gustav-Adolf-Str. Ecke Rennbahnstr.,autobus,A55,1964401_east,"52.56218648,13.45426704",,,,,,,,
Große Seestr. Ecke Klement-Gottwald-Allee,autobus,A55,1964402_east,,,,,,,,,
"Weißensee, Liebermannstr. Ecke Piesporterstr.",autobus,A55,1964403_east,,,,,,,,,
"Blankenfelde, Hauptstr.",autobus,A7E,1964442_east,"52.63002535,13.38262328",,,,,,,,
"Alt-Biesdorf, Oberfeldstr.",autobus,A8E,1964457_east,"52.50918607,13.55334706",,,,,,,,
"Bohnsdorf, Waldstr.",autobus,AD,1964473_east,"52.38939719,13.57066656",,,,,,,,
"Bohnsdorf, Waldstr.",autobus,A38,1964481_east,"52.38939719,13.57066656",,,,,,,,
Königstor,omnibus,O30,1964636_east,"52.52520269,13.41983499",,,,,,,,
Bhf. Lichtenberg,omnibus,O37,1964645_east,"52.54423460,13.46872150",,,,,,,,
Küstrinerplatz,omnibus,O40,1964647_east,"52.51324778,13.43933319",,,,,,,,
Stalinallee,omnibus,O40,1964648_east,,,,,,,,,
"Bohnsdorf, Waldstr.",autobus,A38,1964678_east,"52.38939719,13.57066656",,,,,,,,
